Crossword Magic	A starter puzzle for Crossword Magic	15	15
0	0	1	0	PAID	Gave money to
0	5	5	0	CRASH	Stock market calamity
0	11	10	0	BARD	Singing poet
1	0	14	0	AUDE	French river
1	5	15	0	HUMOR	Wit
1	11	16	0	OGEE	Curved molding
2	0	17	0	STOP	Discontinue
2	5	18	0	APIS	Egyptian bull-deity
2	11	19	0	NOTE	Paper currency
3	0	20	0	SOLO	Han ----
3	5	21	0	NED	--- Beatty, actor
3	9	22	0	LEDGER	Account book
4	3	24	0	SAGE	Man of wisdom
4	8	26	0	WIRE	Telegram
5	0	27	0	SH	Quiet!
5	3	29	0	IDE	Carp-like fish
5	7	30	0	DIVIDEND	A share of stockholder profits
6	0	34	0	CENTS	Pennies
6	6	36	0	SALES	A kind of tax
6	12	37	0	SUE	Take to court
7	0	38	0	ALES	Malt beverages
7	5	39	0	BINDS	Ties together
7	11	40	0	BARB	Sharp point
8	0	41	0	LEE	--- Greenwood, singer
8	4	42	0	FARCE	Exaggerated comedy
8	10	43	0	TRUST	Sell on credit
9	0	44	0	ENDORSEE	Recipient of transferred documents
9	9	46	0	WOE	Misfortune
9	13	47	0	ES	Plural ending
10	3	48	0	REIN	Bridle strap
10	8	49	0	LIRA	Turkish coin
11	0	50	0	SWEDEN	A neutral European country
11	7	53	0	OIL	'Black Gold'
11	11	54	0	KISS	'--- your money goodbye!'
12	0	58	0	HAVE	Own
12	6	59	0	NABS	Seizes
12	11	60	0	AREA	Region
13	0	61	0	OVER	Above
13	5	62	0	METRO	'M' in MGM of movies
13	11	63	0	GOES	Departs
14	0	64	0	TENS	Bills with Hamilton's portrait
14	5	65	0	ETHAN	'----- Frome' (Wharton novel)
14	11	66	0	ENDS	'Make ---- meet'
0	0	1	1	PASS	Free admission
0	1	2	1	AUTO	Car
0	2	3	1	IDOL	Golden calf
0	3	4	1	DEPOSITS	Money drops in bank
0	5	5	1	CHANGE	Loose coins in seat cushions
0	6	6	1	RUPEE	Indian currency
0	7	7	1	AMID	Surrounded by
0	8	8	1	SOS	Distress call
0	9	9	1	HR	Hour (abbreviated)
0	11	10	1	BONDED	Insured for security
0	12	11	1	AGOG	All excited
0	13	12	1	RETE	Network of nerves
0	14	13	1	DEER	Antlered animal
3	9	22	1	LIVES	Resides
3	10	23	1	ERIS	Goddess of Discord
4	4	25	1	ADS	Advertisements (abbreviated)
4	8	26	1	WILDE	Oscar -----, dramatist
5	0	27	1	SCALE	Union wages
5	1	28	1	HELEN	----- of Troy
5	7	30	1	DANCE	Social ball
5	12	31	1	ESAU	Sold his birthright
5	13	32	1	NURSE	Caregiver
5	14	33	1	DEBTS	Financial obligations
6	2	35	1	NEED	Indigence
6	6	36	1	SIREN	Alarm whistle
7	5	39	1	BASIN	Wash bowl
7	11	40	1	BREAKAGE	Sum allowance for loss
8	4	42	1	FREE	Without cost
8	10	43	1	TOR	--- Johnson, noted wrestler and actor
9	3	45	1	ORDERS	Requests for merchandise
9	9	46	1	WILSON	Woodrow ------
10	8	49	1	LIBRA	Former gold coin of Peru
11	0	50	1	SHOT	Fired
11	1	51	1	WAVE	Ocean billow
11	2	52	1	EVEN	Divisible by two
11	7	53	1	OATH	Word of honor
11	12	55	1	IRON	Common metal
11	13	56	1	SEED	Bird food
11	14	57	1	SASS	Impudent talk
12	6	59	1	NET	Gain as profit
13	5	62	1	ME	Myself
